concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason
73855,73855,Maps to,1970-01-01,2099-12-31,
73855,73855,Mapped from,1970-01-01,2099-12-31,
73855,44825733,Mapped from,1970-01-01,2099-12-31,
195083,194755,Subsumes,2011-07-31,2099-12-31,
195083,44825814,Mapped from,1970-01-01,2099-12-31,
195083,195083,Maps to,1970-01-01,2099-12-31,
195083,195083,Mapped from,1970-01-01,2099-12-31,
434376,44819697,Mapped from,1970-01-01,2099-12-31,
434376,434376,Maps to,1970-01-01,2099-12-31,
434376,434376,Mapped from,1970-01-01,2099-12-31,
434376,312327,Is a,2011-07-31,2099-12-31,
434376,44827782,Mapped from,1970-01-01,2099-12-31,
434376,44831236,Mapped from,1970-01-01,2099-12-31,
434376,44834718,Mapped from,2013-11-27,2099-12-31,
435928,44828149,Mapped from,1970-01-01,2099-12-31,
435928,435928,Maps to,1970-01-01,2099-12-31,
435928,44820058,Mapped from,2013-11-27,2099-12-31,
435928,435928,Mapped from,1970-01-01,2099-12-31,
1180188,44994209,Mapped from,1970-01-01,2099-12-31,
1180188,1180188,Maps to,2006-05-14,2099-12-31,
1180188,1180188,Mapped from,2006-05-14,2099-12-31,
1180188,44994543,Mapped from,1970-01-01,2099-12-31,
44820858,44820857,Is a,2014-10-01,2099-12-31,
44820858,438438,Maps to,1970-01-01,2099-12-31,
44823111,44820857,Is a,2014-10-01,2099-12-31,
44823111,438438,Maps to,1970-01-01,2099-12-31,
44831593,201690,Maps to,2012-12-04,2099-12-31,
44832373,441579,Maps to,1970-01-01,2099-12-31,
44832373,44833561,Subsumes,2014-10-01,2099-12-31,
44832373,44820860,Subsumes,2014-10-01,2099-12-31,
44834720,44830079,Is a,2014-10-01,2099-12-31,
44834720,436706,Maps to,1970-01-01,2099-12-31,
44836297,197988,Maps to,1970-01-01,2099-12-31,
44836297,44835088,Is a,2014-10-01,2099-12-31,
9201,9201,Mapped from,1970-01-01,2099-12-31,
9201,9201,Maps to,1970-01-01,2099-12-31,
197988,200219,Is a,2011-07-31,2099-12-31,
197988,44836297,Mapped from,1970-01-01,2099-12-31,
197988,197988,Maps to,1970-01-01,2099-12-31,
197988,197988,Mapped from,1970-01-01,2099-12-31,
312327,435561,Occurs before,2011-07-31,2099-12-31,
312327,435561,Follows,2016-01-31,2099-12-31,
312327,434376,Subsumes,2011-07-31,2099-12-31,
312327,438170,Subsumes,2011-07-31,2099-12-31,
312327,44820861,Mapped from,1970-01-01,2099-12-31,
312327,438172,Due to of,2018-07-31,2099-12-31,
312327,438438,Subsumes,2011-07-31,2099-12-31,
312327,444406,Subsumes,2011-07-31,2099-12-31,
312327,436706,Subsumes,2011-07-31,2099-12-31,
312327,438172,Occurs before,2011-07-31,2099-12-31,
312327,44834724,Mapped from,2014-10-01,2099-12-31,
312327,438172,Follows,2016-01-31,2099-12-31,
312327,438447,Subsumes,2011-07-31,2099-12-31,
312327,312327,Maps to,1970-01-01,2099-12-31,
312327,44819702,Mapped from,2013-10-10,2099-12-31,
312327,44825430,Mapped from,1970-01-01,2099-12-31,
312327,44835928,Mapped from,1970-01-01,2099-12-31,
312327,312327,Mapped from,1970-01-01,2099-12-31,
312327,44832376,Mapped from,2014-10-01,2099-12-31,
312327,44826636,Mapped from,2014-10-01,2099-12-31,
314666,44820864,Mapped from,2013-10-10,2099-12-31,
314666,314666,Maps to,1970-01-01,2099-12-31,
314666,314666,Mapped from,1970-01-01,2099-12-31,
439693,44831237,Mapped from,2012-08-31,2099-12-31,
439693,44834722,Mapped from,2013-10-10,2099-12-31,
439693,439693,Maps to,1970-01-01,2099-12-31,
439693,44837099,Mapped from,2013-10-10,2099-12-31,
439693,439693,Mapped from,1970-01-01,2099-12-31,
444406,44825429,Mapped from,2012-08-31,2099-12-31,
444406,444406,Maps to,1970-01-01,2099-12-31,
444406,44835927,Mapped from,2012-08-31,2099-12-31,
444406,444406,Mapped from,1970-01-01,2099-12-31,
444406,312327,Is a,2011-07-31,2099-12-31,
444406,44819701,Mapped from,2013-10-10,2099-12-31,
444406,44828973,Mapped from,2013-10-10,2099-12-31,
44822309,443629,Maps to,1970-01-01,2099-12-31,
44823455,44835088,Is a,2014-10-01,2099-12-31,
44823455,200219,Maps to,1970-01-01,2099-12-31,
44824632,194755,Maps to,1970-01-01,2099-12-31,
44826979,197981,Maps to,1970-01-01,2099-12-31,
44830079,44834721,Subsumes,2014-10-01,2099-12-31,
44830079,44834720,Subsumes,2014-10-01,2099-12-31,
44830079,44832375,Subsumes,2014-10-01,2099-12-31,
44830079,436706,Maps to,2013-11-27,2099-12-31,
44834718,44819697,Subsumes,2014-10-01,2099-12-31,
44834718,434376,Maps to,2013-11-27,2099-12-31,
44834718,44831236,Subsumes,2014-10-01,2099-12-31,
44834718,44827782,Subsumes,2014-10-01,2099-12-31,
44834722,439693,Maps to,2013-10-10,2099-12-31,
44834722,44837099,Subsumes,2014-10-01,2099-12-31,
44834722,44831237,Subsumes,2014-10-01,2099-12-31,
44835088,200219,Maps to,2013-11-27,2099-12-31,
44835088,44831597,Subsumes,2014-10-01,2099-12-31,
44835088,44823455,Subsumes,2014-10-01,2099-12-31,
44835088,44822304,Subsumes,2014-10-01,2099-12-31,
44835088,44825815,Subsumes,2014-10-01,2099-12-31,
44835088,44833923,Subsumes,2014-10-01,2099-12-31,
44835088,44825814,Subsumes,2014-10-01,2099-12-31,
44835088,44836297,Subsumes,2014-10-01,2099-12-31,
44835088,44835089,Subsumes,2014-10-01,2099-12-31,
44835088,44836296,Subsumes,2014-10-01,2099-12-31,
44835928,312327,Maps to,1970-01-01,2099-12-31,
44835928,44819702,Is a,2014-10-01,2099-12-31,
44836296,193322,Maps to,1970-01-01,2099-12-31,
44836296,44835088,Is a,2014-10-01,2099-12-31,
44924018,1180186,Maps to,1970-01-01,2099-12-31,
44994543,1180188,Maps to,1970-01-01,2099-12-31,
197381,194491,Subsumes,2011-07-31,2099-12-31,
197381,44835089,Mapped from,1970-01-01,2099-12-31,
197381,197381,Maps to,1970-01-01,2099-12-31,
197381,197381,Mapped from,1970-01-01,2099-12-31,
197981,4116950,Subsumes,2011-07-31,2099-12-31,
197981,443629,Subsumes,2011-07-31,2099-12-31,
197981,194491,Subsumes,2011-07-31,2099-12-31,
197981,40488954,Subsumes,2011-07-31,2099-12-31,
197981,194755,Subsumes,2011-07-31,2099-12-31,
197981,200219,Is a,2011-07-31,2099-12-31,
197981,40490986,Subsumes,2011-07-31,2099-12-31,
197981,197981,Maps to,1970-01-01,2099-12-31,
197981,197981,Mapped from,1970-01-01,2099-12-31,
197981,40490984,Subsumes,2011-07-31,2099-12-31,
197981,44826979,Mapped from,1970-01-01,2099-12-31,
197981,44823459,Mapped from,1970-01-01,2099-12-31,
198263,40488954,Subsumes,2011-07-31,2099-12-31,
198263,44833923,Mapped from,1970-01-01,2099-12-31,
198263,198263,Maps to,1970-01-01,2099-12-31,
198263,198263,Mapped from,1970-01-01,2099-12-31,
317109,317109,Maps to,1970-01-01,2099-12-31,
317109,44822322,Mapped from,1970-01-01,2099-12-31,
317109,317109,Mapped from,1970-01-01,2099-12-31,
435561,312327,Occurs after,2011-07-31,2099-12-31,
435561,312327,Followed by,2016-01-31,2099-12-31,
435561,438172,Subsumes,2011-07-31,2099-12-31,
442289,442289,Maps to,1970-01-01,2099-12-31,
442289,44837452,Mapped from,1970-01-01,2099-12-31,
442289,442289,Mapped from,1970-01-01,2099-12-31,
443629,197981,Is a,2011-07-31,2099-12-31,
443629,44822309,Mapped from,1970-01-01,2099-12-31,
443629,443629,Maps to,2009-01-31,2099-12-31,
443629,443629,Mapped from,2009-01-31,2099-12-31,
38001126,38001126,Maps to,2007-10-01,2099-12-31,
38001126,38001126,Mapped from,2007-10-01,2099-12-31,
44819698,44819700,Subsumes,2014-10-01,2099-12-31,
44819698,44819699,Subsumes,2014-10-01,2099-12-31,
44819698,438447,Maps to,1970-01-01,2099-12-31,
44820864,314666,Maps to,2013-10-10,2099-12-31,
44826990,435937,Maps to,1970-01-01,2099-12-31,
44831237,439693,Maps to,2012-08-31,2099-12-31,
44831237,44834722,Is a,2014-10-01,2099-12-31,
44835089,44835088,Is a,2014-10-01,2099-12-31,
44835089,197381,Maps to,1970-01-01,2099-12-31,
44837443,40490984,Maps to,2013-10-10,2099-12-31,
44837452,442289,Maps to,1970-01-01,2099-12-31,
193322,40490986,Subsumes,2011-07-31,2099-12-31,
193322,193322,Maps to,1970-01-01,2099-12-31,
193322,44836296,Mapped from,1970-01-01,2099-12-31,
193322,193322,Mapped from,1970-01-01,2099-12-31,
438172,435561,Is a,2011-07-31,2099-12-31,
438172,312327,Has due to,2018-07-31,2099-12-31,
438172,438172,Maps to,1970-01-01,2099-12-31,
438172,438172,Mapped from,1970-01-01,2099-12-31,
438172,312327,Occurs after,2011-07-31,2099-12-31,
438172,312327,Followed by,2016-01-31,2099-12-31,
438438,44823111,Mapped from,1970-01-01,2099-12-31,
438438,44820857,Mapped from,1970-01-01,2099-12-31,
438438,438438,Maps to,1970-01-01,2099-12-31,
438438,438438,Mapped from,1970-01-01,2099-12-31,
438438,312327,Is a,2011-07-31,2099-12-31,
438438,44824237,Mapped from,1970-01-01,2099-12-31,
438438,44820858,Mapped from,1970-01-01,2099-12-31,
2617455,2617455,Maps to,1970-01-01,2099-12-31,
2617455,2617455,Mapped from,1970-01-01,2099-12-31,
38001108,38001108,Maps to,2007-10-01,2099-12-31,
38001108,38001108,Mapped from,2007-10-01,2099-12-31,
44820058,435928,Maps to,2013-11-27,2099-12-31,
44820058,44828149,Subsumes,2014-10-01,2099-12-31,
44820064,201418,Maps to,1970-01-01,2099-12-31,
44820857,44820858,Subsumes,2014-10-01,2099-12-31,
44820857,44824237,Subsumes,2014-10-01,2099-12-31,
44820857,44823111,Subsumes,2014-10-01,2099-12-31,
44820857,438438,Maps to,1970-01-01,2099-12-31,
44828149,44820058,Is a,2014-10-01,2099-12-31,
44828149,435928,Maps to,1970-01-01,2099-12-31,
44834719,438170,Maps to,1970-01-01,2099-12-31,
44994209,1180188,Maps to,1970-01-01,2099-12-31,
194175,44831597,Mapped from,1970-01-01,2099-12-31,
194175,40490984,Subsumes,2011-07-31,2099-12-31,
194175,194175,Maps to,1970-01-01,2099-12-31,
194175,194175,Mapped from,1970-01-01,2099-12-31,
436706,44832375,Mapped from,1970-01-01,2099-12-31,
436706,44834720,Mapped from,1970-01-01,2099-12-31,
436706,44830079,Mapped from,2013-11-27,2099-12-31,
436706,436706,Maps to,1970-01-01,2099-12-31,
436706,44834721,Mapped from,1970-01-01,2099-12-31,
436706,436706,Mapped from,1970-01-01,2099-12-31,
436706,312327,Is a,2011-07-31,2099-12-31,
2617453,2617453,Maps to,1970-01-01,2099-12-31,
2617453,2617453,Mapped from,1970-01-01,2099-12-31,
4116950,197981,Is a,2011-07-31,2099-12-31,
4116950,4116950,Maps to,1970-01-01,2099-12-31,
4116950,4116950,Mapped from,1970-01-01,2099-12-31,
40488954,198263,Is a,2011-07-31,2099-12-31,
40488954,40488954,Maps to,2011-07-31,2099-12-31,
40488954,44831601,Mapped from,2013-10-10,2099-12-31,
40488954,40488954,Mapped from,2011-07-31,2099-12-31,
40488954,197981,Is a,2011-07-31,2099-12-31,
44819513,435773,Maps to,1970-01-01,2099-12-31,
44825430,312327,Maps to,1970-01-01,2099-12-31,
44825430,44819702,Is a,2014-10-01,2099-12-31,
44825814,44835088,Is a,2014-10-01,2099-12-31,
44825814,195083,Maps to,1970-01-01,2099-12-31,
44832375,44830079,Is a,2014-10-01,2099-12-31,
44832375,436706,Maps to,1970-01-01,2099-12-31,
44832376,312327,Maps to,2014-10-01,2099-12-31,
44834721,436706,Maps to,1970-01-01,2099-12-31,
44834721,44830079,Is a,2014-10-01,2099-12-31,
44834724,312327,Maps to,2014-10-01,2099-12-31,
44835927,444406,Maps to,2012-08-31,2099-12-31,
44835927,44819701,Is a,2014-10-01,2099-12-31,
194696,44831357,Mapped from,1970-01-01,2099-12-31,
194696,194696,Maps to,1970-01-01,2099-12-31,
194696,194696,Mapped from,1970-01-01,2099-12-31,
442764,200219,Is a,2011-07-31,2099-12-31,
442764,442764,Maps to,1970-01-01,2099-12-31,
442764,442764,Mapped from,1970-01-01,2099-12-31,
2617457,2617457,Maps to,1970-01-01,2099-12-31,
2617457,2617457,Mapped from,1970-01-01,2099-12-31,
38001113,38001113,Maps to,2007-10-01,2099-12-31,
38001113,38001113,Mapped from,2007-10-01,2099-12-31,
44819699,44819698,Is a,2014-10-01,2099-12-31,
44819699,438447,Maps to,1970-01-01,2099-12-31,
44819701,44825429,Subsumes,2014-10-01,2099-12-31,
44819701,444406,Maps to,2013-10-10,2099-12-31,
44819701,44835927,Subsumes,2014-10-01,2099-12-31,
44819701,44828973,Subsumes,2014-10-01,2099-12-31,
44822322,317109,Maps to,1970-01-01,2099-12-31,
44824633,194491,Maps to,1970-01-01,2099-12-31,
44827782,434376,Maps to,1970-01-01,2099-12-31,
44827782,44834718,Is a,2014-10-01,2099-12-31,
44831357,194696,Maps to,1970-01-01,2099-12-31,
44831601,40488954,Maps to,2013-10-10,2099-12-31,
9202,9202,Mapped from,1970-01-01,2099-12-31,
9202,9202,Maps to,1970-01-01,2099-12-31,
435773,44819513,Mapped from,1970-01-01,2099-12-31,
435773,435773,Maps to,1970-01-01,2099-12-31,
435773,435773,Mapped from,1970-01-01,2099-12-31,
438447,44819700,Mapped from,1970-01-01,2099-12-31,
438447,44819699,Mapped from,1970-01-01,2099-12-31,
438447,44819698,Mapped from,1970-01-01,2099-12-31,
438447,312327,Is a,2011-07-31,2099-12-31,
438447,438447,Maps to,1970-01-01,2099-12-31,
438447,438447,Mapped from,1970-01-01,2099-12-31,
439141,44837432,Mapped from,1970-01-01,2099-12-31,
439141,439141,Maps to,1970-01-01,2099-12-31,
439141,439141,Mapped from,1970-01-01,2099-12-31,
2617342,2617342,Maps to,1970-01-01,2099-12-31,
2617342,2617342,Mapped from,1970-01-01,2099-12-31,
2617452,2617452,Maps to,1970-01-01,2099-12-31,
2617452,2617452,Mapped from,1970-01-01,2099-12-31,
38001110,38001110,Maps to,2007-10-01,2099-12-31,
38001110,38001110,Mapped from,2007-10-01,2099-12-31,
44820861,44819702,Is a,2014-10-01,2099-12-31,
44820861,312327,Maps to,1970-01-01,2099-12-31,
44824237,44820857,Is a,2014-10-01,2099-12-31,
44824237,438438,Maps to,1970-01-01,2099-12-31,
44828973,444406,Maps to,2013-10-10,2099-12-31,
44828973,44819701,Is a,2014-10-01,2099-12-31,
44831236,434376,Maps to,1970-01-01,2099-12-31,
44831236,44834718,Is a,2014-10-01,2099-12-31,
44835929,319038,Maps to,1970-01-01,2099-12-31,
44837432,439141,Maps to,1970-01-01,2099-12-31,
194755,194755,Maps to,2009-01-31,2099-12-31,
194755,44824632,Mapped from,1970-01-01,2099-12-31,
194755,194755,Mapped from,2009-01-31,2099-12-31,
194755,195083,Is a,2011-07-31,2099-12-31,
194755,197981,Is a,2011-07-31,2099-12-31,
201418,201418,Maps to,1970-01-01,2099-12-31,
201418,44820064,Mapped from,1970-01-01,2099-12-31,
201418,201418,Mapped from,1970-01-01,2099-12-31,
321042,44825442,Mapped from,1970-01-01,2099-12-31,
321042,321042,Maps to,1970-01-01,2099-12-31,
321042,321042,Mapped from,1970-01-01,2099-12-31,
435937,44826990,Mapped from,1970-01-01,2099-12-31,
435937,435937,Maps to,1970-01-01,2099-12-31,
435937,435937,Mapped from,1970-01-01,2099-12-31,
438170,438170,Maps to,1970-01-01,2099-12-31,
438170,44834719,Mapped from,1970-01-01,2099-12-31,
438170,44835926,Mapped from,1970-01-01,2099-12-31,
438170,438170,Mapped from,1970-01-01,2099-12-31,
438170,441579,Subsumes,2011-07-31,2099-12-31,
438170,312327,Is a,2011-07-31,2099-12-31,
438170,44832374,Mapped from,1970-01-01,2099-12-31,
1180186,19033211,Has tradename,2006-08-02,2099-12-31,
1180186,44924018,Mapped from,1970-01-01,2099-12-31,
1180186,1180186,Maps to,2006-05-14,2099-12-31,
1180186,1180186,Mapped from,2006-05-14,2099-12-31,
2617456,2617456,Maps to,1970-01-01,2099-12-31,
2617456,2617456,Mapped from,1970-01-01,2099-12-31,
2617478,2617478,Maps to,1970-01-01,2099-12-31,
2617478,2617478,Mapped from,1970-01-01,2099-12-31,
19033211,1180186,Tradename of,2006-08-02,2099-12-31,
19033211,45179123,Mapped from,1970-01-01,2099-12-31,
19033211,19033211,Maps to,1970-01-01,2099-12-31,
19033211,19033211,Mapped from,1970-01-01,2099-12-31,
40481920,40481920,Maps to,2010-01-31,2099-12-31,
40481920,40481920,Mapped from,2010-01-31,2099-12-31,
40481920,44825815,Mapped from,2012-08-31,2099-12-31,
44822304,44835088,Is a,2014-10-01,2099-12-31,
44822304,200219,Maps to,1970-01-01,2099-12-31,
44823459,197981,Maps to,1970-01-01,2099-12-31,
44832374,438170,Maps to,1970-01-01,2099-12-31,
194491,194491,Maps to,1970-01-01,2099-12-31,
194491,194491,Mapped from,1970-01-01,2099-12-31,
194491,197381,Is a,2011-07-31,2099-12-31,
194491,44824633,Mapped from,1970-01-01,2099-12-31,
194491,197981,Is a,2011-07-31,2099-12-31,
200219,197988,Subsumes,2011-07-31,2099-12-31,
200219,44835088,Mapped from,2013-11-27,2099-12-31,
200219,442764,Subsumes,2011-07-31,2099-12-31,
200219,200219,Maps to,1970-01-01,2099-12-31,
200219,44822304,Mapped from,1970-01-01,2099-12-31,
200219,44823455,Mapped from,1970-01-01,2099-12-31,
200219,200219,Mapped from,1970-01-01,2099-12-31,
200219,197981,Subsumes,2011-07-31,2099-12-31,
2617477,2617477,Maps to,1970-01-01,2099-12-31,
2617477,2617477,Mapped from,1970-01-01,2099-12-31,
38001112,38001112,Maps to,2007-10-01,2099-12-31,
38001112,38001112,Mapped from,2007-10-01,2099-12-31,
38001125,38001125,Maps to,2007-10-01,2099-12-31,
38001125,38001125,Mapped from,2007-10-01,2099-12-31,
40490984,194175,Is a,2011-07-31,2099-12-31,
40490984,44837443,Mapped from,2013-10-10,2099-12-31,
40490984,197981,Is a,2011-07-31,2099-12-31,
40490984,40490984,Maps to,2011-07-31,2099-12-31,
40490984,40490984,Mapped from,2011-07-31,2099-12-31,
40490986,193322,Is a,2011-07-31,2099-12-31,
40490986,44824631,Mapped from,2013-10-10,2099-12-31,
40490986,197981,Is a,2011-07-31,2099-12-31,
40490986,40490986,Maps to,2011-07-31,2099-12-31,
40490986,40490986,Mapped from,2011-07-31,2099-12-31,
44819700,44819698,Is a,2014-10-01,2099-12-31,
44819700,438447,Maps to,1970-01-01,2099-12-31,
44819702,44820861,Subsumes,2014-10-01,2099-12-31,
44819702,312327,Maps to,2013-10-10,2099-12-31,
44819702,44835928,Subsumes,2014-10-01,2099-12-31,
44819702,44825430,Subsumes,2014-10-01,2099-12-31,
44824631,40490986,Maps to,2013-10-10,2099-12-31,
44825429,44819701,Is a,2014-10-01,2099-12-31,
44825429,444406,Maps to,2012-08-31,2099-12-31,
44825442,321042,Maps to,1970-01-01,2099-12-31,
44826636,312327,Maps to,2014-10-01,2099-12-31,
44833561,44832373,Is a,2014-10-01,2099-12-31,
44833561,441579,Maps to,1970-01-01,2099-12-31,
44833923,198263,Maps to,1970-01-01,2099-12-31,
44833923,44835088,Is a,2014-10-01,2099-12-31,
45179123,19033211,Maps to,1970-01-01,2099-12-31,
201690,44831593,Mapped from,2012-12-04,2099-12-31,
201690,201690,Maps to,1970-01-01,2099-12-31,
201690,201690,Mapped from,1970-01-01,2099-12-31,
319038,44835929,Mapped from,1970-01-01,2099-12-31,
319038,319038,Maps to,1970-01-01,2099-12-31,
319038,319038,Mapped from,1970-01-01,2099-12-31,
441579,438170,Is a,2011-07-31,2099-12-31,
441579,44832373,Mapped from,1970-01-01,2099-12-31,
441579,441579,Maps to,1970-01-01,2099-12-31,
441579,44820860,Mapped from,1970-01-01,2099-12-31,
441579,44833561,Mapped from,1970-01-01,2099-12-31,
441579,441579,Mapped from,1970-01-01,2099-12-31,
2617231,2617231,Maps to,1970-01-01,2099-12-31,
2617231,2617231,Mapped from,1970-01-01,2099-12-31,
2617454,2617454,Maps to,1970-01-01,2099-12-31,
2617454,2617454,Mapped from,1970-01-01,2099-12-31,
38001124,38001124,Maps to,2007-10-01,2099-12-31,
38001124,38001124,Mapped from,2007-10-01,2099-12-31,
44819697,434376,Maps to,1970-01-01,2099-12-31,
44819697,44834718,Is a,2014-10-01,2099-12-31,
44820860,44832373,Is a,2014-10-01,2099-12-31,
44820860,441579,Maps to,1970-01-01,2099-12-31,
44825733,73855,Maps to,1970-01-01,2099-12-31,
44825815,44835088,Is a,2014-10-01,2099-12-31,
44825815,40481920,Maps to,2012-08-31,2099-12-31,
44831597,194175,Maps to,1970-01-01,2099-12-31,
44831597,44835088,Is a,2014-10-01,2099-12-31,
44835926,438170,Maps to,1970-01-01,2099-12-31,
44837099,44834722,Is a,2014-10-01,2099-12-31,
44837099,439693,Maps to,2013-10-10,2099-12-31,
